len, t, score
10, 0.0036370277404785155, 70
20, 0.004787039756774902, 135
30, 0.009175682067871093, 246
40, 0.01577000617980957, 328
50, 0.026382756233215333, 416
60, 0.035226297378540036, 491
70, 0.0497117280960083, 575
80, 0.06535611152648926, 648
90, 0.0833592176437378, 679
100, 0.09929306507110595, 727
110, 0.12339143753051758, 825
120, 0.14631693363189696, 910
130, 0.17435643672943116, 992
140, 0.2019259214401245, 1022
150, 0.22956433296203613, 1112
160, 0.262290358543396, 1168
170, 0.295589542388916, 1294
180, 0.33656351566314696, 1243
190, 0.37481415271759033, 1458
200, 0.4115978479385376, 1494
