len, t, score
10, 0.009277725219726562, 70
20, 0.05719649791717529, 135
30, 0.19318537712097167, 231
40, 0.47126002311706544, 318
50, 0.9051623106002807, 385
60, 1.5577104330062865, 440
70, 2.4797786712646483, 516
80, 3.6755932331085206, 589
90, 5.254720997810364, 628
100, 7.189701056480407, 687
110, 9.577575922012329, 754
120, 12.393582010269165, 810
130, 16.357380080223084, 895
140, 19.974277091026305, 957
150, 24.340839242935182, 1023
160, 28.756620597839355, 1080
170, 35.42330899238586, 1186
180, 42.0431254863739, 1158
190, 49.079416155815125, 1323
200, 57.431219291687015, 1379
