i, iplusone, time, distance
2, 3, 0.000598454475402832, 2
3, 4, 0.0004985570907592773, 3
4, 5, 0.0008976936340332031, 3
5, 6, 0.0008974790573120118, 3
6, 7, 0.0013962268829345703, 5
7, 8, 0.0017952442169189454, 3
8, 9, 0.0015956878662109375, 5
9, 10, 0.002393651008605957, 5
10, 11, 0.002692866325378418, 7
11, 12, 0.00359036922454834, 9
12, 13, 0.005984115600585938, 7
13, 14, 0.006582379341125488, 5
14, 15, 0.006283164024353027, 7
15, 16, 0.0062831401824951175, 11
16, 17, 0.005983948707580566, 11
17, 18, 0.007081055641174316, 11
18, 19, 0.007830095291137696, 9
19, 20, 0.01401369571685791, 11
20, 21, 0.013364195823669434, 13
21, 22, 0.009179806709289551, 11
22, 23, 0.009968972206115723, 11
23, 24, 0.012466621398925782, 9
24, 25, 0.012267231941223145, 11
25, 26, 0.012765789031982422, 9
26, 27, 0.013564276695251464, 9
27, 28, 0.014760661125183105, 11
28, 29, 0.017852044105529784, 9
29, 30, 0.017509055137634278, 11
30, 31, 0.018900084495544433, 11
31, 32, 0.02044539451599121, 13
32, 33, 0.022938060760498046, 15
33, 34, 0.025428104400634765, 17
34, 35, 0.025731277465820313, 19
35, 36, 0.027655267715454103, 17
36, 37, 0.03456284999847412, 19
37, 38, 0.044480633735656736, 9
38, 39, 0.03779582977294922, 13
39, 40, 0.036803030967712404, 11
40, 41, 0.03965027332305908, 13
41, 42, 0.04029216766357422, 13
42, 43, 0.045378828048706056, 15
43, 44, 0.05526304244995117, 17
44, 45, 0.057346558570861815, 19
45, 46, 0.0577164888381958, 21
46, 47, 0.05759592056274414, 21
47, 48, 0.05935828685760498, 21
48, 49, 0.06811790466308594, 25
49, 50, 0.07282485961914062, 29
50, 51, 0.0741569995880127, 27
51, 52, 0.08011128902435302, 27
52, 53, 0.08043220043182372, 27
53, 54, 0.08805201053619385, 21
54, 55, 0.09918055534362794, 25
55, 56, 0.10337672233581544, 29
56, 57, 0.10468430519104004, 27
57, 58, 0.10711355209350586, 29
58, 59, 0.11579136848449707, 27
59, 60, 0.11390025615692138, 19
60, 61, 0.11657462120056153, 19
61, 62, 0.12530884742736817, 21
62, 63, 0.12655766010284425, 17
63, 64, 0.128808331489563, 19
64, 65, 0.1360996961593628, 29
65, 66, 0.14341306686401367, 23
66, 67, 0.14643421173095703, 23
67, 68, 0.15218102931976318, 25
68, 69, 0.15646021366119384, 25
69, 70, 0.1606961727142334, 29
70, 71, 0.17470204830169678, 15
71, 72, 0.1876455545425415, 19
72, 73, 0.2051318407058716, 21
73, 74, 0.22549333572387695, 19
74, 75, 0.22602829933166504, 19
75, 76, 0.22565929889678954, 21
76, 77, 0.24789128303527833, 23
77, 78, 0.23694231510162353, 17
78, 79, 0.23373522758483886, 17
79, 80, 0.2645702600479126, 19
80, 81, 0.3141096353530884, 21
81, 82, 0.2795095920562744, 21
82, 83, 0.26530601978302004, 23
83, 84, 0.26828091144561766, 23
84, 85, 0.3568446397781372, 19
85, 86, 0.2760612010955811, 21
86, 87, 0.27137069702148436, 21
87, 88, 0.32443172931671144, 25
88, 89, 0.3344088077545166, 21
89, 90, 0.3822768688201904, 23
90, 91, 0.3006953001022339, 21
91, 92, 0.30887351036071775, 21
92, 93, 0.3150571346282959, 23
93, 94, 0.33450472354888916, 25
94, 95, 0.34368047714233396, 27
95, 96, 0.35903975963592527, 29
96, 97, 0.3755908727645874, 31
97, 98, 0.3727060317993164, 27
98, 99, 0.3770907878875732, 29
99, 100, 0.4038160085678101, 29
100, 101, 0.4113991022109985, 31
101, 102, 0.4245640993118286, 33
102, 103, 0.43454077243804934, 35
103, 104, 0.44381213188171387, 25
104, 105, 0.4547795057296753, 25
105, 106, 0.47164149284362794, 17
106, 107, 0.48819358348846437, 19
107, 108, 0.5035526275634765, 19
108, 109, 0.5085394144058227, 19
109, 110, 0.5186122417449951, 21
110, 111, 0.5383557081222534, 23
111, 112, 0.5353707551956177, 25
112, 113, 0.5456401348114014, 27
113, 114, 0.5586015939712524, 29
114, 115, 0.5687813758850098, 31
115, 116, 0.5881228446960449, 33
116, 117, 0.6034849166870118, 33
117, 118, 0.6269262552261352, 33
118, 119, 0.6219354391098022, 35
119, 120, 0.6341029644012451, 31
120, 121, 0.6497578620910645, 33
121, 122, 0.6686141729354859, 35
122, 123, 0.6512576818466187, 37
123, 124, 0.6671108722686767, 39
124, 125, 0.7103028297424316, 39
125, 126, 0.6734975814819336, 39
126, 127, 0.710894513130188, 43
127, 128, 0.7534835338592529, 45
128, 129, 0.7477027654647828, 47
129, 130, 0.7308409452438355, 31
130, 131, 0.7606643676757813, 35
131, 132, 0.7742282152175903, 31
132, 133, 0.7863959074020386, 35
133, 134, 0.8104345321655273, 33
134, 135, 0.8169143676757813, 29
135, 136, 0.8296761751174927, 29
136, 137, 0.8552114725112915, 35
137, 138, 1.229709219932556, 101
138, 139, 1.6618568181991578, 33
139, 140, 1.6805035829544068, 31
140, 141, 1.6973572254180909, 27
141, 142, 1.6934688568115235, 29
142, 143, 1.7349534988403321, 31
143, 144, 1.7510178327560424, 33
144, 145, 1.7933975458145142, 33
145, 146, 1.7869216918945312, 37
146, 147, 1.7802328586578369, 27
147, 148, 1.7962211608886718, 29
148, 149, 1.8517446041107177, 31
149, 150, 1.8783736944198608, 33
150, 151, 1.8927350759506225, 37
151, 152, 1.9687319993972778, 37
152, 153, 2.030366635322571, 43
153, 154, 2.0497151136398317, 45
154, 155, 2.065377044677734, 47
155, 156, 2.097583270072937, 49
156, 157, 2.141070532798767, 47
157, 158, 2.1578259468078613, 53
158, 159, 2.196123147010803, 47
