taxa, file, rfdist, comparison
89, 89_Adeno_E3_CR1.phy, 175, rfdist(GenericNJ:RapidNJ)
214, 214_Arena_glycoprot.phy, 425, rfdist(GenericNJ:RapidNJ)
304, 304_A1_Propeptide.phy, 601, rfdist(GenericNJ:RapidNJ)
401, 401_DDE.phy, 799, rfdist(GenericNJ:RapidNJ)
494, 494_Astro_capsid.phy, 981, rfdist(GenericNJ:RapidNJ)
89, 89_Adeno_E3_CR1.phy, 175, rfdist(GenericNJ:QuickTree)
214, 214_Arena_glycoprot.phy, 425, rfdist(GenericNJ:QuickTree)
304, 304_A1_Propeptide.phy, 601, rfdist(GenericNJ:QuickTree)
401, 401_DDE.phy, 799, rfdist(GenericNJ:QuickTree)
494, 494_Astro_capsid.phy, 981, rfdist(GenericNJ:QuickTree)
