taxa, file, rfdist, comparison
89, 89_Adeno_E3_CR1.phy, 175, oursVSrnj
214, 214_Arena_glycoprot.phy, 425, oursVSrnj
304, 304_A1_Propeptide.phy, 605, oursVSrnj
401, 401_DDE.phy, 799, oursVSrnj
494, 494_Astro_capsid.phy, 985, oursVSrnj
608, 608_Gemini_AL2.phy, 1213, oursVSrnj
89, 89_Adeno_E3_CR1.phy, 175, oursVSqt
214, 214_Arena_glycoprot.phy, 425, oursVSqt
304, 304_A1_Propeptide.phy, 605, oursVSqt
401, 401_DDE.phy, 799, oursVSqt
494, 494_Astro_capsid.phy, 985, oursVSqt
608, 608_Gemini_AL2.phy, 1213, oursVSqt
