taxa, file, time, algorithm
89, 89_Adeno_E3_CR1.phy, 1.154876470565796, Our Saitou Nei
214, 214_Arena_glycoprot.phy, 25.9326593875885, Our Saitou Nei
304, 304_A1_Propeptide.phy, 97.08338284492493, Our Saitou Nei
401, 401_DDE.phy, 309.9372878074646, Our Saitou Nei
494, 494_Astro_capsid.phy, 673.1710770130157, Our Saitou Nei
608, 608_Gemini_AL2.phy, 1440.750722169876, Our Saitou Nei
777, 777_Gemini_V1.phy, 3777.9176139831543, Our Saitou Nei
877, 877_Glu_synthase.phy, 5931.679894447327, Our Saitou Nei
1347, 1347_FAINT.phy, 31877.47610616684, Our Saitou Nei
1493, 1493_Fe-ADH.phy, 47907.77636170387, Our Saitou Nei
1560, 1560_Ferritin.phy, 57940.25156068802, Our Saitou Nei
